Date,Country,Location,Region,Operator,Wireline Company,Well,Mud,Open Hole /Cased Hole,Bit size / Csg size [inches],Depth [m],Temperature (degC),Deviation,Dif. Pressure [psi],DLS          [deg/30m],Main Application,Toolstring,Probe/Coring Bit Orientation,System,Jar included in the Toolstring,Successful ,Unsuccessful - Downhole Conditions,Unsuccessful - Wrong Setup,Jar Activation,Remarks,Hole Size Group,Depth Group,Temperature Group,Deviation Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-19,Colombia,Bogota,LAM,Oxy,SLB,Cosecha-CW01,WBM,OH,12.25,2765,,36,,,Ledges,HRLA-PPC,,Wireline Express,NO,0,0,Equipment unavailability ,N/A,"Could not reach TD. Held up at 2030 m. Due to unavailability of SLB equipment could only run a short HF with 2 TT (ILE, flex) - countewrweight was not enough to orient the toolstring.",12-14,2000m-4000m,<110,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,Iraq,Erbil,MEA,DNO,SLB,Baeshiqa-2,WBM,OH,8.5,2595,,12,,,Ledges,Sonic Scanner-HRLA,,Wireline Express,NO,1,0,0,N/A,,8-10,2000m-4000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,Iraq,Erbil,MEA,DNO,SLB,Baeshiqa-2,WBM,OH,8.5,2595,,12,,,Ledges,TLD-APS-ADT-HNGS,,Wireline Express,NO,1,0,0,N/A,,8-10,2000m-4000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,Iraq,Erbil,MEA,DNO,SLB,Baeshiqa-2,WBM,OH,8.5,2595,,12,,,Ledges,CMR-LithoScanner,,Wireline Express,NO,1,0,0,N/A,,8-10,2000m-4000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,Iraq,Erbil,MEA,DNO,SLB,Baeshiqa-2,WBM,OH,8.5,2595,,12,,,Ledges,XL-Rock,Bit-HORIZONTAL (90 deg),Wireline Express,NO,1,0,0,N/A,Did not run HF8,8-10,2000m-4000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,Iraq,Erbil,MEA,DNO,SLB,Baeshiqa-2,WBM,OH,8.5,2595,,12,,,Ledges,XL-Rock,Bit-HORIZONTAL (90 deg),Wireline Express,NO,1,0,0,N/A,Did not run HF8,8-10,2000m-4000m,<110,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,Iraq,Erbil,MEA,HKN,SLB,STEast-ST-B2Y,WBM,OH,8.5,2450,,26,,,Ledges,FMI-TLD,,Wireline Express,NO,0,Hung-Up - Bridge,0,N/A,Seems like a blockage. Wiper trip done and cleared,8-10,2000m-4000m,<110,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,Iraq,Erbil,MEA,HKN,SLB,STEast-ST-B2Y,WBM,OH,8.5,2450,,26,,,Ledges,MSIP-HRLA-HNGS,,Wireline Express,NO,1,0,0,N/A,Passed to TD. Overpull near casing shoe attributed to bowspring. No rollers were run for the next two runs but tool reached TD safely.,8-10,2000m-4000m,<110,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,Norway,Bergen,EUR,Lundin,SLB,16-31A,SOBM,OH,8.5,2795,,65,,,Deviation,FMI-MSIP,,Wireline Express,YES,1,0,0,NO,Successfully navigated to TD. MSIP Centralized using TTB-X-515,8-10,2000m-4000m,<110,60-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,Norway,Bergen,EUR,Lundin,SLB,16-31A,SOBM,OH,8.5,2795,,65,,,Deviation,UBI-PEX-HRLA,,Wireline Express,YES,1,0,0,NO,Successfully navigated to TD. Upper USIS closed and replaced by TTB-X-515,8-10,2000m-4000m,<110,60-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
